	T_C	RH_	prediction	
47	-12.25	72.85910797	8.725345237	64.13376273
48	-12.22000027	71.6832962	8.968620553	62.71467565
49	-12.19999981	90.72827911	5.028215846	85.70006327
50	-12.18000031	92.3107605	4.700800636	87.60995986
51	-12.03999996	90.46837616	5.081989737	85.38638642
52	-11.93999958	92.42339325	4.677496933	87.74589632
53	-11.65999985	90.73470306	5.026886732	85.70781633
54	-11.61999989	89.78490448	5.223399946	84.56150453
55	-11.57999992	92.75419617	4.609053848	88.14514232
56	-11.56000042	91.69400787	4.828406681	86.86560119
57	-11.51000023	88.5167923	5.485772207	83.03102009
58	-11.47999954	90.31530762	5.1136596	85.20164802
59	-11.39000034	86.93012238	5.814054025	81.11606835
60	-11.38000011	92.948349	4.56888365	88.37946535
61	-11.30000019	91.85829926	4.794414813	87.06388444
62	-11.02000046	86.6421051	5.873644765	80.76846034
63	-11	64.40893555	10.47368491	53.93525064
64	-10.77999973	62.97104263	10.77118478	52.19985785
65	-10.69999981	91.64976501	4.837560523	86.81220449
66	-10.61999989	85.66062164	6.076713576	79.58390807
67	-10.56000042	66.22745514	10.09743342	56.13002172
68	-10.42000008	69.6882782	9.381389542	60.30688866
69	-10.22000027	91.17171478	4.936469059	86.23524572
70	-10.18000031	58.6327858	11.66876961	46.96401619
71	-10.14000034	61.97668457	10.97691735	50.99976722
72	-10.11999989	91.52719879	4.86291946	86.66427933
73	-10.03999996	90.46736145	5.08219968	85.38516177
74	-10	92.40174103	4.681976775	87.71976425
75	-9.989999771	58.60975647	11.67353437	46.9362221
76	-9.979999542	61.62456512	11.04977082	50.5747943
77	-9.840000153	57.30762482	11.94294526	45.36467956
78	-9.800000191	57.09224319	11.98750769	45.1047355
79	-9.800000191	65.57145691	10.23315938	55.33829753
80	-9.739999771	82.13816833	6.805508748	75.33265959
81	-9.720000267	89.27355194	5.329198726	83.94435321
82	-9.699999809	57.5802803	11.88653287	45.69374743
83	-9.640000343	92.05639648	4.75342852	87.30296796
84	-9.600000381	69.98525238	9.319945619	60.66530676
85	-9.520000458	87.36401367	5.724281968	81.6397317
86	-9.260000229	91.66722107	4.833948867	86.8332722
87	-9.239999771	89.5908432	5.263551202	84.327292
88	-9.119999886	54.32211304	12.56064729	41.76146575
89	-9.109999657	56.2021904	12.17165951	44.03053089
90	-9.100000381	61.42585373	11.09088418	50.33496954
91	-9.039999962	91.58577728	4.850799577	86.73497771
92	-9	80.82367706	7.077476837	73.74620023
93	-8.859999657	62.09637833	10.95215273	51.1442256
94	-8.779999733	50.34275055	13.38397692	36.95877363
95	-8.779999733	82.34438324	6.762842909	75.58154033
96	-8.600000381	78.02146912	7.657253329	70.36421579
97	-8.550000191	79.27233887	7.398448525	71.87389034
98	-8.489999771	53.26180649	12.78002459	40.4817819
99	-8.460000038	87.39543915	5.71778004	81.67765911
100	-8.340000153	91.11345673	4.948522644	86.16493408
101	-8.220000267	54.71639633	12.47907012	42.23732621
102	-8.100000381	91.36767578	4.895924752	86.47175103
103	-8.039999962	92.6587677	4.628797987	88.02996971
104	-7.980000019	88.00241089	5.592197659	82.41021323
105	-7.960000038	77.63195801	7.737843131	69.89411488
106	-7.960000038	86.26013947	5.95267341	80.30746606
107	-7.960000038	91.40544128	4.888111074	86.51733021
108	-7.889999866	78.7156601	7.513625297	71.2020348
109	-7.860000134	91.55092621	4.85801026	86.69291595
110	-7.860000134	92.8963089	4.579650741	88.31665816
111	-7.840000153	92.90180206	4.578514206	88.32328786
112	-7.78000021	87.95738983	5.60151251	82.35587732
113	-7.78000021	89.83390045	5.213262686	84.62063777
114	-7.730000019	81.64902496	6.906712454	74.74231251
115	-7.679999828	89.52484131	5.277206986	84.24763432
116	-7.679999828	92.19126892	4.725523429	87.46574549
117	-7.670000076	92.99554443	4.559118921	88.43642551
118	-7.659999847	92.05487061	4.753744224	87.30112638
119	-7.619999886	90.01981354	5.17479729	84.84501625
120	-7.510000229	43.77633667	14.74256717	29.0337695
121	-7.480000019	88.5907135	5.470477918	83.12023558
122	-7.46999979	86.3595047	5.932114755	80.42738994
123	-7.449999809	88.93609619	5.399018281	83.53707791
124	-7.369999886	51.37882996	13.16961221	38.20921774
125	-7.289999962	73.26387024	8.641599972	64.62227027
126	-7.199999809	43.49085999	14.80163226	28.68922772
127	-7.099999905	87.59889984	5.675684047	81.92321579
128	-7.019999981	77.04940033	7.858374245	69.19102608
129	-7.019999981	91.99158478	4.766838054	87.22474672
130	-7	86.20890808	5.963273177	80.2456349
131	-7	87.13759613	5.77112773	81.3664684
132	-6.960000038	90.05064392	5.168418488	84.88222543
133	-6.949999809	95.90711212	3.956715911	91.95039621
134	-6.880000114	60.49385452	11.28371471	49.21013981
135	-6.880000114	72.24993134	8.851383811	63.39854752
136	-6.880000114	88.48048401	5.493284387	82.98719962
137	-6.739999771	89.62783051	5.255898533	84.37193197
138	-6.71999979	40.78772736	15.36091008	25.42681727
139	-6.699999809	91.48330688	4.87200069	86.61130619
140	-6.639999866	94.96984863	4.150635616	90.81921302
141	-6.619999886	67.33213043	9.868876235	57.4632542
142	-6.559999943	66.21149445	10.10073569	56.11075876
143	-6.480000019	95.29515839	4.083329066	91.21182932
144	-6.380000114	68.66610718	9.592876605	59.07323057
145	-6.349999905	66.44045258	10.05336428	56.3870883
146	-6.320000172	93.9799118	4.355453428	89.62445838
147	-6.309999943	91.51655579	4.865121496	86.65143429
148	-6.28000021	66.45374298	10.05061449	56.40312849
149	-6.28000021	81.74205017	6.887465549	74.85458462
150	-6.28000021	96.56209564	3.821199898	92.74089574
151	-6.260000229	93.47763824	4.459373768	89.01826448
152	-6.239999771	64.45256805	10.46465735	53.9879107
153	-6.210000038	68.86003876	9.552752184	59.30728657
154	-6.159999847	73.47605896	8.597698151	64.87836081
155	-6.150000095	64.22354889	10.51204139	53.7115075
156	-6.139999866	90.79603577	5.014197003	85.78183876
157	-6.139999866	94.61778259	4.223478038	90.39430456
158	-6.119999886	96.6078186	3.811739823	92.79607878
159	-6.099999905	79.78636932	7.292095685	72.49427364
160	-6.099999905	87.31793976	5.733814655	81.5841251
161	-6.099999905	96.68315887	3.79615193	92.88700694
162	-6.079999924	65.10850525	10.32894402	54.77956123
163	-6.079999924	96.57281494	3.818982077	92.75383286
164	-6.059999943	76.97964478	7.872806661	69.10683811
165	-6.019999981	89.67210388	5.246738377	84.42536551
166	-6.019999981	90.15460205	5.146909563	85.00769249
167	-6.019999981	92.02417755	4.760094613	87.26408294
168	-5.980000019	90.93460846	4.985526329	85.94908213
169	-5.980000019	92.98632813	4.561025774	88.42530235
170	-5.980000019	93.41278076	4.472792774	88.93998799
171	-5.980000019	93.50740814	4.45321438	89.05419376
172	-5.96999979	94.68869781	4.208805687	90.47989213
173	-5.960000038	92.51673126	4.658185309	87.85854595
174	-5.929999828	94.37062073	4.274615798	90.09600493
175	-5.920000076	47.32980728	14.00735452	33.32245276
176	-5.920000076	82.45584869	6.73978072	75.71606797
177	-5.920000076	96.61851501	3.809526737	92.80898828
178	-5.900000095	89.21958923	5.340363604	83.87922563
179	-5.900000095	89.31648254	5.320316389	83.99616615
180	-5.900000095	93.22160339	4.512347349	88.70925605
181	-5.860000134	43.9253006	14.71174655	29.21355405
182	-5.849999905	86.79320526	5.84238216	80.9508231
183	-5.840000153	90.87585449	4.997682518	85.87817197
184	-5.820000172	94.35409546	4.278034874	90.07606058
185	-5.809999943	75.4815979	8.182752382	67.29884552
186	-5.78000021	78.09670258	7.641687535	70.45501504
187	-5.760000229	74.16278076	8.455615492	65.70716527
188	-5.760000229	96.66420746	3.800072976	92.86413448
189	-5.739999771	85.1929245	6.17348006	79.01944444
190	-5.71999979	91.2438736	4.921539409	86.32233419
191	-5.679999828	93.63725281	4.426349534	89.21090327
192	-5.679999828	96.73355103	3.7857258	92.94782523
193	-5.650000095	93.62184143	4.429538146	89.19230328
194	-5.639999866	92.48457336	4.664838774	87.81973459
195	-5.639999866	93.55355072	4.443667486	89.10988323
196	-5.579999924	65.44644165	10.25902502	55.18741663
197	-5.46999979	84.81289673	6.252107761	78.56078897
198	-5.460000038	76.28463745	8.016603594	68.26803386
199	-5.460000038	82.96749115	6.633921956	76.33356919
200	-5.440000057	64.73629761	10.40595374	54.33034387
201	-5.409999847	72.10608673	8.881145243	63.22494149
202	-5.380000114	82.458992	6.739130369	75.71986164
203	-5.340000153	64.56341553	10.44172302	54.12169251
204	-5.340000153	77.19085693	7.829106891	69.36175004
205	-5.329999924	93.68618011	4.41622648	89.26995363
206	-5.260000229	93.70543671	4.412242293	89.29319441
207	-5.239999771	78.50075531	7.558089072	70.94266624
208	-5.21999979	94.23728943	4.302202028	89.9350874
209	-5.199999809	78.17570496	7.625341952	70.550363
210	-5.179999828	81.57286072	6.922470827	74.65038989
211	-5.179999828	85.60424805	6.088377267	79.51587078
212	-5.179999828	93.15738678	4.525633758	88.63175302
213	-5.139999866	58.53225327	11.68956978	46.84268349
214	-5.139999866	95.9068985	3.95676011	91.95013839
215	-5.110000134	44.07912064	14.67992121	29.39919943
216	-5.099999905	34.30348969	16.70249809	17.60099159
217	-5.099999905	65.99878693	10.14474485	55.85404208
218	-5.099999905	72.54020691	8.791325829	63.74888108
219	-5.079999924	96.88171387	3.755070925	93.12664294
220	-5.019999981	77.98442078	7.664918626	70.31950215
221	-5.019999981	80.29012299	7.187869112	73.10225387
222	-5.019999981	86.58390045	5.8856873	80.69821315
223	-4.96999979	70.38916016	9.236377148	61.15278301
224	-4.96999979	71.58705902	8.988532014	62.59852701
225	-4.949999809	89.07788849	5.369681471	83.70820702
226	-4.949999809	92.50450134	4.660715678	87.84378566
227	-4.940000057	95.77575684	3.983893304	91.79186353
228	-4.920000076	75.04825592	8.272410786	66.77584513
229	-4.900000095	91.91932678	4.781788225	87.13753856
230	-4.840000153	94.3661499	4.275540812	90.09060909
231	-4.840000153	97.0202179	3.726414458	93.29380344
232	-4.820000172	94.9624176	4.152173095	90.81024451
233	-4.789999962	71.22505188	9.063431249	62.16162063
234	-4.78000021	71.9709549	8.909104004	63.06185089
235	-4.78000021	88.3894043	5.512128769	82.87727553
236	-4.78000021	96.94409943	3.742163361	93.20193607
237	-4.739999771	73.98587036	8.492218233	65.49365213
238	-4.739999771	91.38537598	4.892262583	86.49311339
239	-4.679999828	73.31401062	8.631225933	64.68278469
240	-4.639999866	44.4055481	14.6123834	29.79316469
241	-4.610000134	93.45602417	4.463845718	88.99217845
242	-4.599999905	73.43624878	8.605934873	64.83031391
243	-4.590000153	73.91239929	8.507419388	65.4049799
244	-4.590000153	92.31452942	4.700020846	87.61450857
245	-4.579999924	88.88097382	5.410423094	83.47055072
246	-4.579999924	94.41444397	4.265548775	90.1488952
247	-4.559999943	94.56208801	4.23500124	90.32708677
248	-4.53000021	76.01983643	8.071390895	67.94844553
249	-4.519999981	96.29311371	3.876852228	92.41626148
250	-4.489999771	96.2781601	3.879946129	92.39821397
251	-4.46999979	96.33071899	3.869071699	92.46164729
252	-4.460000038	93.06762695	4.544205056	88.5234219
253	-4.429999828	75.41511536	8.196507612	67.21860774
254	-4.380000114	73.19200134	8.656469638	64.5355317
255	-4.380000114	87.36185455	5.724728689	81.63712586
256	-4.360000134	96.31495667	3.872332923	92.44262374
257	-4.360000134	97.53057861	3.620820886	93.90975773
258	-4.329999924	91.13275146	4.944530565	86.1882209
259	-4.320000172	75.38653564	8.202420751	67.18411489
260	-4.320000172	77.02807617	7.862786211	69.16528996
261	-4.269999981	45.63779449	14.35743177	31.28036273
262	-4.269999981	96.24652863	3.886490677	92.36003795
263	-4.25	95.9701767	3.943667858	92.02650884
264	-4.239999771	96.20803833	3.894454314	92.31358402
265	-4.239999771	97.47179413	3.632983389	93.83881074
266	-4.21999979	87.30371857	5.736757018	81.56696155
267	-4.21999979	95.5311203	4.034508574	91.49661173
268	-4.199999809	63.89340973	10.58034714	53.31306259
269	-4.199999809	95.46595764	4.047990721	91.41796692
270	-4.179999828	69.77055359	9.364366773	60.40618682
271	-4.170000076	48.97259521	13.6674619	35.30513332
272	-4.170000076	97.09494019	3.710954425	93.38398576
273	-4.159999847	83.556427	6.512071198	77.0443558
274	-4.139999866	71.4371109	9.019556263	62.41755464
275	-4.130000114	97.31665039	3.66508261	93.65156778
276	-4.119999886	74.22232056	8.443296715	65.77902384
277	-4.119999886	93.06448364	4.544855406	88.51962824
278	-4.110000134	61.69610977	11.03496824	50.66114153
279	-4.110000134	74.64514923	8.355813513	66.28933572
280	-4.110000134	83.94554138	6.431563479	77.5139779
281	-4.050000191	82.24460602	6.783486804	75.46111921
282	-3.980000019	92.74311829	4.611345861	88.13177243
283	-3.980000019	95.85781097	3.966916313	91.89089466
284	-3.950000048	96.33699799	3.867772577	92.46922541
285	-3.940000057	72.48891449	8.801938225	63.68697626
286	-3.940000057	72.48891449	8.801938225	63.68697626
287	-3.940000057	74.97029877	8.288540112	66.68175866
288	-3.940000057	94.02085114	4.346983086	89.67386805
289	-3.920000076	95.21340942	4.100242917	91.11316651
290	-3.920000076	96.27494812	3.880610687	92.39433743
291	-3.900000095	59.35704803	11.51891984	47.8381282
292	-3.900000095	95.19532013	4.10398559	91.09133454
293	-3.890000105	97.24506378	3.679893871	93.56516991
294	-3.880000114	97.48166656	3.630940783	93.85072578
295	-3.859999895	93.23091888	4.510419975	88.72049891
296	-3.829999924	71.31335449	9.045161449	62.26819304
297	-3.819999933	65.55570221	10.23641902	55.31928319
298	-3.819999933	80.08113098	7.231109533	72.85002145
299	-3.779999971	94.87328339	4.170614954	90.70266843
300	-3.75999999	80.60700989	7.122305249	73.48470464
301	-3.75999999	87.96289063	5.600374397	82.36251623
302	-3.75	93.04524231	4.548836436	88.49640587
303	-3.74000001	44.46025467	14.60106462	29.85919005
304	-3.74000001	71.17131042	9.07455035	62.09676008
305	-3.720000029	77.49819183	7.765519336	69.7326725
306	-3.720000029	82.87989044	6.652046532	76.22784391
307	-3.720000029	84.36656952	6.344452807	78.02211671
308	-3.720000029	97.4807663	3.631127049	93.84963925
309	-3.680000067	70.21906281	9.271570269	60.94749254
310	-3.680000067	70.7285614	9.16615507	61.56240633
311	-3.660000086	88.62808228	5.462746323	83.16533595
312	-3.660000086	92.82971954	4.593428071	88.23629147
313	-3.630000114	68.80149841	9.564864174	59.23663424
314	-3.599999905	93.3974762	4.475959286	88.92151691
315	-3.579999924	70.02407837	9.311912526	60.71216584
316	-3.569999933	95.92586517	3.952835907	91.97302927
317	-3.559999943	90.99786377	4.972438813	86.02542496
318	-3.539999962	51.44937134	13.15501721	38.29435413
319	-3.5	93.73580933	4.405958202	89.32985112
320	-3.5	97.40335083	3.6471443	93.75620653
321	-3.49000001	85.14969635	6.182423959	78.96727239
322	-3.480000019	68.07266998	9.71565869	58.35701129
323	-3.480000019	70.17836761	9.279990099	60.89837752
324	-3.480000019	97.03400421	3.723562071	93.31044214
325	-3.460000038	95.90953064	3.95621552	91.95331512
326	-3.450000048	93.24661255	4.507172957	88.73943959
327	-3.440000057	80.75779724	7.091107364	73.66668988
328	-3.440000057	92.60068512	4.640815266	87.95986985
329	-3.440000057	95.44204712	4.052937805	91.38910931
330	-3.420000076	68.1113739	9.707650854	58.40372305
331	-3.400000095	97.36165619	3.655770916	93.70588527
332	-3.329999924	92.26885986	4.709469872	87.55938999
333	-3.319999933	96.56222534	3.821173063	92.74105228
334	-3.289999962	96.85311127	3.7609888	93.09212247
335	-3.230000019	84.08300781	6.403121691	77.67988612
336	-3.220000029	87.25943756	5.745918752	81.51351881
337	-3.180000067	58.37799454	11.72148589	46.65650865
338	-3.170000076	83.87059784	6.447069289	77.42352855
339	-3.140000105	92.02997589	4.758894938	87.27108095
340	-3.140000105	92.36814117	4.688928581	87.67921259
341	-3.099999905	65.27758026	10.29396242	54.98361784
342	-3.099999905	80.40057373	7.165016866	73.23555686
343	-3.089999914	92.35743713	4.691143245	87.66629389
344	-3.079999924	36.35147858	16.27876943	20.07270915
345	-3.079999924	70.98331451	9.113446681	61.86986783
346	-3.059999943	69.48046875	9.424385292	60.05608346
347	-3.059999943	96.06916046	3.923188129	92.14597233
348	-3.029999971	85.86326599	6.034786485	79.82847951
349	-3.019999981	60.85271454	11.20946662	49.64324792
350	-3.019999981	91.67469025	4.832403495	86.84228675
351	-3.00999999	67.61959076	9.809400727	57.81019003
352	-3	36.32920837	16.28337713	20.04583124
353	-2.970000029	96.14174652	3.908170082	92.23357644
354	-2.950000048	97.53714752	3.61946178	93.91768574
355	-2.940000057	84.32957458	6.352107055	77.97746753
356	-2.940000057	85.78552246	6.050871612	79.73465085
357	-2.930000067	79.89963531	7.268660965	72.63097435
358	-2.900000095	92.67396545	4.625653573	88.04831188
359	-2.880000114	67.15377808	9.905777316	57.24800076
360	-2.859999895	74.30421448	8.426352873	65.8778616
361	-2.859999895	88.34033966	5.522280236	82.81805942
362	-2.819999933	96.13658905	3.909237162	92.22735189
363	-2.799999952	46.74775314	14.12778146	32.61997169
364	-2.779999971	82.67228699	6.694999662	75.97728732
365	-2.769999981	90.52438354	5.070401815	85.45398173
366	-2.74000001	90.48339844	5.078881629	85.40451681
367	-2.720000029	80.89884186	7.061925249	73.83691661
368	-2.700000048	96.92630768	3.745844471	93.18046321
369	-2.680000067	87.29616547	5.738319753	81.55784571
370	-2.660000086	84.14511871	6.390270953	77.75484776
371	-2.640000105	82.22167206	6.788231838	75.43344022
372	-2.640000105	83.59365845	6.504368017	77.08929043
373	-2.599999905	79.69129181	7.311767211	72.3795246
374	-2.589999914	95.91676331	3.954719082	91.96204422
375	-2.569999933	46.74863815	14.12759835	32.62103981
376	-2.559999943	81.60202026	6.916437721	74.68558254
377	-2.559999943	85.85434723	6.036631776	79.81771545
378	-2.529999971	69.15180969	9.492384812	59.65942488
379	-2.519999981	95.74642181	3.989962717	91.7564591
380	-2.5	82.76409912	6.676003743	76.08809538
381	-2.460000038	90.01815033	5.175141408	84.84300892
382	-2.460000038	95.57301331	4.025840916	91.54717239
383	-2.430000067	88.59836578	5.468894662	83.12947112
384	-2.420000076	61.73999405	11.02588859	50.71410546
385	-2.420000076	95.77436066	3.984182173	91.79017848
386	-2.400000095	81.4601593	6.945788737	74.51437056
387	-2.390000105	78.20960999	7.618327005	70.59128298
388	-2.390000105	89.10214996	5.364661775	83.73748819
389	-2.390000105	95.66387939	4.007040733	91.65683866
390	-2.380000114	90.89539337	4.993639926	85.90175345
391	-2.380000114	94.64111328	4.218650921	90.42246236
392	-2.319999933	80.55437469	7.133195465	73.42117923
393	-2.299999952	77.99531555	7.662664498	70.33265105
394	-2.299999952	87.29226685	5.739126377	81.55314047
395	-2.279999971	80.76937866	7.088711169	73.68066749
396	-2.269999981	69.90651703	9.336235953	60.57028108
397	-2.25999999	41.79636765	15.15222253	26.64414512
398	-2.25	77.53687286	7.757516236	69.77935663
399	-2.24000001	57.19733429	11.96576436	45.23156993
400	-2.24000001	82.6984024	6.689596386	76.00880602
401	-2.24000001	97.62245941	3.60181076	94.02064865
402	-2.230000019	95.970047	3.943694693	92.0263523
403	-2.210000038	92.85988617	4.587186599	88.27269957
404	-2.210000038	94.37657166	4.273384552	90.1031871
405	-2.180000067	29.48138618	17.70019073	11.78119545
406	-2.170000076	91.63343811	4.840938557	86.79249955
407	-2.160000086	90.39051819	5.098098542	85.29241965
408	-2.160000086	95.41838074	4.057834377	91.36054636
409	-2.140000105	95.90014648	3.958157101	91.94198938
410	-2.130000114	85.33259583	6.144582079	79.18801375
411	-2.130000114	94.56630707	4.234128318	90.33217875
412	-2.119999886	85.88776398	6.029717854	79.85804612
413	-2.119999886	94.01715851	4.34774709	89.66941142
414	-2.119999886	94.90416718	4.164225102	90.73994207
415	-2.099999905	90.65112305	5.044179428	85.60694362
416	-2.099999905	91.33524323	4.902635044	86.43260818
417	-2.069999933	64.08535004	10.54063471	53.54471532
418	-2.039999962	85.53072357	6.103589472	79.4271341
419	-2.039999962	93.77440643	4.397972465	89.37643397
420	-2.019999981	69.4956665	9.421240878	60.07442563
421	-1.980000019	40.07338715	15.50870699	24.56468016
422	-1.980000019	94.27167511	4.295087635	89.97658747
423	-1.980000019	96.27762604	3.880056626	92.39756941
424	-1.960000038	83.27404022	6.570496989	76.70354323
425	-1.960000038	83.50283813	6.523158728	76.97967941
426	-1.950000048	57.04436874	11.99741291	45.04695584
427	-1.940000057	38.03552246	15.93034095	22.10518151
428	-1.940000057	64.33063507	10.48988527	53.8407498
429	-1.940000057	90.05524445	5.167466639	84.88777781
430	-1.899999976	71.32863617	9.041999672	62.2866365
431	-1.899999976	84.05013275	6.409923537	77.64020921
432	-1.889999986	93.67068481	4.419432456	89.25125236
433	-1.879999995	37.70531845	15.99866012	21.70665833
434	-1.879999995	59.86584091	11.41365065	48.45219026
435	-1.879999995	76.75402832	7.919486679	68.83454164
436	-1.879999995	85.41901398	6.126702174	79.2923118
437	-1.879999995	97.65451813	3.595177816	94.05934031
438	-1.870000005	78.79405212	7.497405996	71.29664613
439	-1.860000014	80.91777039	7.058008939	73.85976145
440	-1.820000052	96.27500916	3.880598058	92.3944111
441	-1.75999999	41.06947708	15.3026161	25.76686098
442	-1.74000001	75.52036285	8.174731918	67.34563094
443	-1.730000019	95.72879028	3.993610678	91.7351796
444	-1.710000038	80.59155273	7.125503333	73.4660494
445	-1.700000048	78.93622589	7.46799026	71.46823563
446	-1.700000048	82.34075928	6.763592706	75.57716657
447	-1.700000048	87.06867218	5.785388087	81.28328409
448	-1.679999948	94.81000519	4.183707206	90.62629798
449	-1.659999967	50.87640762	13.27356333	37.60284429
450	-1.649999976	64.99263	10.3529186	54.63971141
451	-1.639999986	93.49723816	4.455318548	89.04191961
452	-1.610000014	86.2647171	5.951726298	80.3129908
453	-1.600000024	74.33140564	8.420727024	65.91067862
454	-1.600000024	84.17308044	6.384485674	77.78859477
455	-1.590000033	85.41447449	6.127641394	79.28683309
456	-1.580000043	63.78480911	10.6028166	53.18199252
457	-1.580000043	82.9822464	6.630869097	76.3513773
458	-1.580000043	84.22861481	6.372995621	77.85561919
459	-1.570000052	61.07375717	11.16373292	49.91002425
460	-1.559999943	92.06340027	4.751979438	87.31142083
461	-1.549999952	91.23614502	4.923138451	86.31300657
462	-1.539999962	77.24819946	7.817242728	69.43095673
463	-1.519999981	94.15700531	4.318812803	89.83819251
464	-1.519999981	94.97398376	4.149780057	90.82420371
465	-1.519999981	95.93042755	3.951891951	91.9785356
466	-1.50999999	71.48809814	9.009007008	62.47909114
467	-1.5	95.31485748	4.079253326	91.23560416
468	-1.5	95.64958954	4.009997303	91.63959224
469	-1.470000029	61.96143723	10.98007202	50.9813652
470	-1.460000038	43.48940659	14.80193297	28.68747361
471	-1.460000038	54.0180397	12.62356003	41.39447967
472	-1.460000038	82.67861938	6.69368949	75.98492989
473	-1.460000038	86.95360565	5.809195338	81.14441031
474	-1.460000038	95.46949005	4.047259866	91.42223019
475	-1.440000057	82.29947662	6.772134082	75.52734254
476	-1.440000057	92.8248291	4.594439903	88.2303892
477	-1.440000057	96.2387619	3.888097611	92.35066429
478	-1.419999957	76.80176544	7.909609874	68.89215557
479	-1.419999957	77.92942047	7.676298182	70.25312229
480	-1.409999967	95.57901764	4.024598621	91.55441902
481	-1.399999976	55.64207077	12.28754819	43.35452258
482	-1.399999976	58.69989014	11.65488573	47.04500441
483	-1.399999976	60.03149414	11.37937702	48.65211712
484	-1.399999976	95.91618347	3.95483905	91.96134442
485	-1.379999995	59.58232117	11.47231085	48.11001031
486	-1.379999995	72.83016205	8.731334145	64.0988279
487	-1.379999995	96.39842224	3.855063906	92.54335834
488	-1.370000005	33.74621964	16.8177972	16.92842244
489	-1.370000005	90.98960876	4.974146773	86.01546199
490	-1.360000014	78.96054077	7.462959514	71.49758126
491	-1.360000014	94.82611847	4.18037337	90.6457451
492	-1.350000024	66.12501526	10.11862822	56.00638704
493	-1.350000024	90.15939331	5.145918252	85.01347506
494	-1.340000033	71.89920807	8.923948413	62.97525966
495	-1.340000033	82.27171326	6.77787832	75.49383494
496	-1.320000052	58.62783051	11.66979486	46.95803565
497	-1.320000052	71.79568481	8.945367363	62.85031745
498	-1.299999952	55.36998367	12.34384298	43.02614069
499	-1.299999952	92.18136597	4.727572349	87.45379362
500	-1.289999962	95.94686127	3.948491818	91.99836945
501	-1.279999971	92.47890472	4.666011615	87.81289311
502	-1.279999971	92.72207642	4.615699421	88.106377
503	-1.279999971	94.8000946	4.185757704	90.6143369
504	-1.25	95.69519806	4.000560905	91.69463715
505	-1.24000001	71.46179962	9.014448169	62.44735145
506	-1.200000048	80.96695709	7.047832215	73.91912488
507	-1.200000048	89.951828	5.188863489	84.76296451
508	-1.200000048	96.42508698	3.849546975	92.57554
509	-1.190000057	96.40406799	3.8538958	92.55017219
510	-1.179999948	85.1105957	6.190513878	78.92008182
511	-1.169999957	89.366539	5.309959714	84.05657929
512	-1.169999957	96.12355804	3.911933275	92.21162477
513	-1.159999967	72.929039	8.710876516	64.21816249
514	-1.159999967	95.07328796	4.12923403	90.94405393
515	-1.159999967	95.88756561	3.960760081	91.92680553
516	-1.139999986	72.93315887	8.710024114	64.22313476
517	-1.139999986	96.65618896	3.801732001	92.85445696
518	-1.129999995	94.50450134	4.246915915	90.25758543
519	-1.120000005	51.56822586	13.13042622	38.43779964
